user_id,current_role,years_experience,industry,skills,education_level,next_role,skills_to_learn,current_salary_LPA,predicted_salary_LPA
U7912,Software Developer / Engineer,3,Automotive,"SQL, OOP, Python",Bachelors,DevOps Engineer,"DevOps, Docker, Go, Kubernetes, Linux, Python, Testing",37.3,44.09
U4611,Software Developer / Engineer,2,Education,"OOP, Java, SQL, Python",Bachelors,DevOps Engineer,"Docker, Go, Kubernetes, Linux, Machine Learning, Node.js, Python, SQL",6.8,8.05
U2674,Software Developer / Engineer,4,Technology,"Git, Python",Bachelors,Mobile App Developer (Android/iOS),"Docker, Java, Kotlin, Kubernetes, Node.js, React, Swift",40.9,51.12
U7201,Software Developer / Engineer,0,Finance,"SQL, Java",Bachelors,Embedded Software Engineer,"C, C++, Data Visualization, Excel, Python, RTOS, SQL",3.05,3.79
U5741,Software Developer / Engineer,10,Automotive,"OOP, Java",PhD,Software Architect,"C++, DevOps, Kubernetes, Microservices, Python, SQL, Security, System Design",27.6,34.5
U6820,Software Developer / Engineer,13,Finance,"SQL, Git",Bachelors,Cloud Developer (AWS/GCP/Azure),"Data Structures, Docker, Machine Learning, Python, SQL",55.7,66.58
U4598,Software Developer / Engineer,4,Technology,"Python, Git, OOP",Bachelors,Mobile App Developer (Android/iOS),"Data Structures, Java, Kotlin, Kubernetes, Python, SQL, Security, Swift",27.2,34.0
U4483,Software Developer / Engineer,11,Healthcare,"Java, Git",Bachelors,Game Developer,"Docker, Java, Kubernetes, Linux, SQL",38.2,47.33
U8019,Software Developer / Engineer,11,Automotive,"Git, SQL, Python",Bachelors,Mobile App Developer (Android/iOS),"Data Structures, Java, Kotlin, Kubernetes, React, SQL, Swift",31.3,36.64
U3621,Software Developer / Engineer,13,Telecom,"OOP, Git, Java",Masters,Software Architect,"C++, Cloud, Java, Linux, Machine Learning, Microservices, Security, System Design",31.2,39.0
U6573,Software Developer / Engineer,5,Healthcare,"SQL, Java",PhD,Software Architect,"C++, Data Structures, Java, Kubernetes, Microservices, React, System Design, Testing",26.6,30.57
U9317,Software Developer / Engineer,1,Automotive,"Git, Java",Masters,Software Architect,"C++, Docker, Linux, Microservices, Node.js, Python, React, System Design",15.0,17.12
U6310,Software Developer / Engineer,13,Retail,"OOP, Git, Python",Bachelors,Cloud Developer (AWS/GCP/Azure),"Cloud, Docker, Java, React, SQL",19.1,22.32
U8962,Software Developer / Engineer,14,Technology,"SQL, OOP, Java, Python",Bachelors,Full Stack Developer,"Cloud, Data Structures, DevOps, Linux, Security",60.9,73.88
U9835,Software Developer / Engineer,8,Finance,"Git, SQL",Bachelors,Full Stack Developer,"Docker, Machine Learning, React, SQL, Security",19.8,23.44
U6539,Software Developer / Engineer,0,Finance,"Java, Python",Masters,Embedded Software Engineer,"C, C++, Data Visualization, Excel, Python, RTOS, SQL",4.07,5.09
U2104,Software Developer / Engineer,2,Healthcare,"OOP, Java, Python",PhD,Mobile App Developer (Android/iOS),"Java, Kotlin, Kubernetes, Linux, React, Security, Swift, Testing",29.2,36.5
U8744,Software Developer / Engineer,11,Automotive,"OOP, SQL",Bachelors,"Front-End Developer (React, Angular, etc.)","Data Structures, DevOps, Node.js, Security, Testing",55.2,67.09
U7735,Software Developer / Engineer,13,Education,"OOP, Python",Masters,Game Developer,"Docker, Java, Kubernetes, Python, React",27.1,30.03
U4139,Software Developer / Engineer,0,Retail,"Python, Java, Git",Masters,Site Reliability Engineer (SRE),"Data Visualization, Excel, Python, SQL",6.75,8.39
U2604,Software Developer / Engineer,6,Automotive,"Git, SQL, OOP, Python",Bachelors,Mobile App Developer (Android/iOS),"Docker, Java, Kotlin, Kubernetes, React, Security, Swift, Testing",38.1,43.92
U1960,Software Developer / Engineer,9,Finance,"OOP, Git",Masters,Site Reliability Engineer (SRE),"DevOps, Java, Kubernetes, Python, Testing",28.2,35.15
U3536,Software Developer / Engineer,12,Retail,"SQL, Git, OOP",Bachelors,DevOps Engineer,"Data Structures, Docker, Go, Kubernetes, Linux, Machine Learning, Python, Testing",36.8,40.69
