Company Name,Pros,Cons,Description,Text
Microsoft,They provide great benefits and you get a lot of exposure if interested in full time corporate role. Work/Life balance is good and entirely up to you make it what you want it to be . Some really great people working in the Inside sales teams and the building is fantastic.  Microsoft has Great Culture and Support! . The Good pay and bonus and they're always finding ways to give money to employees., Bad managers abound and there is not much remedy for that except for leaving the job. Life balance in hardware due to frequent unplanned work travel and evening calls; bloated meetings; some poor management . Long hours you have to wait till the last customer leave it’s energy consuming some of the customers are unrespectful . Massive layoffs that hurt entire company and caused so many disruptions for all teams and departments.Too much politics and exchange of favors rather than meritocracy seriously affect the possibilities to grow and develop inside the company.,"At Microsoft, our mission is to empower every person and every organization on the planet to achieve more. When you join Microsoft, you're not just taking on a job, you're embracing a calling. A calling where your individual contributions amplify into a collective force championing global progress and innovation.  
Rooted in a growth mindset, Microsoft believes in nurturing potential, embracing change, and lifelong learning. As part of Team Microsoft, you'll collaborate across boundaries, building upon the ideas of others, unified by our shared mission.  

Together, our aspirations become tangible. Consider Microsoft to make world-changing impact. 
Because impact matters. 

Join us at careers.microsoft.com ","They provide great benefits and you get a lot of exposure if interested in full time corporate role. Work/Life balance is good and entirely up to you make it what you want it to be . Some really great people working in the Inside sales teams and the building is fantastic.  Microsoft has Great Culture and Support! . The Good pay and bonus and they're always finding ways to give money to employees.  Bad managers abound and there is not much remedy for that except for leaving the job. Life balance in hardware due to frequent unplanned work travel and evening calls; bloated meetings; some poor management . Long hours you have to wait till the last customer leave it’s energy consuming some of the customers are unrespectful . Massive layoffs that hurt entire company and caused so many disruptions for all teams and departments.Too much politics and exchange of favors rather than meritocracy seriously affect the possibilities to grow and develop inside the company. At Microsoft, our mission is to empower every person and every organization on the planet to achieve more. When you join Microsoft, you're not just taking on a job, you're embracing a calling. A calling where your individual contributions amplify into a collective force championing global progress and innovation.  
Rooted in a growth mindset, Microsoft believes in nurturing potential, embracing change, and lifelong learning. As part of Team Microsoft, you'll collaborate across boundaries, building upon the ideas of others, unified by our shared mission.  

Together, our aspirations become tangible. Consider Microsoft to make world-changing impact. 
Because impact matters. 

Join us at careers.microsoft.com "
Google, My teammates were really great people and did a lot to help me get up and running. Great benefits and I do believe they build some of the best products out there. It was a great environment and culture that I looked forward to going to every day. In those positions you can have a good work/life balance and just use all the benefits. Would recommend Software Engineering/Development/PM at Google if you want a nice comfy job with perks and good pay. , Long hours and lots to learn; if you are not a learner it might not be the best place. Bad management and rude to customers. People are forced out by bad managers via bad annual reviews and PIP program to get their friends in there. Recent layoffs have felt really sad to experience. Bad leadership and goal progress.,"Since our founding in 1998, Google has grown by leaps and bounds. Starting from two computer science students in a university dorm room, we now have over a hundred thousand employees and over one hundred offices around the world. These Googlers build products that help create opportunities for everyone, whether down the street or across the globe. So whether you want to be a part of developing innovative technology, campaigns, products or partnerships, your work here is a chance to accomplish things that matter. To learn more about our job opportunities, teams, offices, benefits and workplace culture, visit careers.google.com. "," My teammates were really great people and did a lot to help me get up and running. Great benefits and I do believe they build some of the best products out there. It was a great environment and culture that I looked forward to going to every day. In those positions you can have a good work/life balance and just use all the benefits. Would recommend Software Engineering/Development/PM at Google if you want a nice comfy job with perks and good pay.   Long hours and lots to learn; if you are not a learner it might not be the best place. Bad management and rude to customers. People are forced out by bad managers via bad annual reviews and PIP program to get their friends in there. Recent layoffs have felt really sad to experience. Bad leadership and goal progress. Since our founding in 1998, Google has grown by leaps and bounds. Starting from two computer science students in a university dorm room, we now have over a hundred thousand employees and over one hundred offices around the world. These Googlers build products that help create opportunities for everyone, whether down the street or across the globe. So whether you want to be a part of developing innovative technology, campaigns, products or partnerships, your work here is a chance to accomplish things that matter. To learn more about our job opportunities, teams, offices, benefits and workplace culture, visit careers.google.com. "
Amazon, Pay is good but not worth the asks made from IT and how they are treated. Their health benefits are good and their career choice is helpful to start a new career. A lot of information that is useful and great people to go to when you need something. It's a very huge company all around the world and it keeps satisfying its employees with a good salary. The work culture is good and I never felt that I was new in the company. , No work-life balance and sometimes you can feel the pressure and stress to meet immediate requirements with less time. You work long hours and not as many breaks as you would like or need at times. Poor management and it's difficult to get a hold of someone when there's a problem that needs fixing. There are also bad managers that are rude and do not care about the feelings of their associates. The company advertises peak season as the long hours and hard push but it really happens routinely throughout the year.,"All Amazon teams and businesses, from Prime delivery to AWS, are guided by four key tenets: customer obsession rather than competitor focus, passion for invention, commitment to operational excellence, and long-term thinking.  

We are driven by the excitement of building technologies, inventing products, and providing services that transform the way our customers live their lives and run their businesses."," Pay is good but not worth the asks made from IT and how they are treated. Their health benefits are good and their career choice is helpful to start a new career. A lot of information that is useful and great people to go to when you need something. It's a very huge company all around the world and it keeps satisfying its employees with a good salary. The work culture is good and I never felt that I was new in the company.   No work-life balance and sometimes you can feel the pressure and stress to meet immediate requirements with less time. You work long hours and not as many breaks as you would like or need at times. Poor management and it's difficult to get a hold of someone when there's a problem that needs fixing. There are also bad managers that are rude and do not care about the feelings of their associates. The company advertises peak season as the long hours and hard push but it really happens routinely throughout the year. All Amazon teams and businesses, from Prime delivery to AWS, are guided by four key tenets: customer obsession rather than competitor focus, passion for invention, commitment to operational excellence, and long-term thinking.  

We are driven by the excitement of building technologies, inventing products, and providing services that transform the way our customers live their lives and run their businesses."
Apple, The benefits are great and the brand value it adds to the resume is fantastic. Working from home is great and the people you work with and meet are the best. The pay is good and it can be a fun job where you can make friends. Great culture and ability to work your way up if you are motivated or interested in a career at Apple. The team is great and you bond with peers that make your days easier and manage the overall stress. ," No work-life balance, made you feel bad about taking time off for mental health reasons. Poor management and tools. Long hours and have to take calls back to back, didn't enjoy the job at all. There is zero accountability for bad managers and so there are toxic teams that go undetected. They are very hard on you about taking time off and want you to always be at everything.","We’re a diverse collective of thinkers and doers, continually reimagining what’s possible to help us all do what we love in new ways. And the same innovation that goes into our products also applies to our practices — strengthening our commitment to leave the world better than we found it. This is where your work can make a difference in people’s lives. Including your own.  

Apple is an equal opportunity employer that is committed to inclusion and diversity. Visit apple.com/careers to learn more."," The benefits are great and the brand value it adds to the resume is fantastic. Working from home is great and the people you work with and meet are the best. The pay is good and it can be a fun job where you can make friends. Great culture and ability to work your way up if you are motivated or interested in a career at Apple. The team is great and you bond with peers that make your days easier and manage the overall stress.   No work-life balance, made you feel bad about taking time off for mental health reasons. Poor management and tools. Long hours and have to take calls back to back, didn't enjoy the job at all. There is zero accountability for bad managers and so there are toxic teams that go undetected. They are very hard on you about taking time off and want you to always be at everything. We’re a diverse collective of thinkers and doers, continually reimagining what’s possible to help us all do what we love in new ways. And the same innovation that goes into our products also applies to our practices — strengthening our commitment to leave the world better than we found it. This is where your work can make a difference in people’s lives. Including your own.  

Apple is an equal opportunity employer that is committed to inclusion and diversity. Visit apple.com/careers to learn more."
Meta," The company has great benefits and really makes sure you and your family have everything you need. The people are great and you won’t see any of the same perks at other companies. Great culture and really easy to connect with peers from all levels. It has good pay and is in a nice place like California. Work with the best, always get challenged but in a positive way, caring environment, good salary. "," Well known for bad work-life balance with MPK (USA), late hours are common and needed to get on. Extremely political and recent layoffs made it even worse. Can be super stressful, bad manager can ruin your life, efforts are not praised or counted, code output doesn't matter. Management is poor in comms and career growth can be a little murky. Politics and poor leadership in the mid-level.","Meta is building the future of human connection and the technology that makes it possible. When Facebook launched in 2004, it changed the way people connect. Apps like Messenger, Instagram and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. "," The company has great benefits and really makes sure you and your family have everything you need. The people are great and you won’t see any of the same perks at other companies. Great culture and really easy to connect with peers from all levels. It has good pay and is in a nice place like California. Work with the best, always get challenged but in a positive way, caring environment, good salary.   Well known for bad work-life balance with MPK (USA), late hours are common and needed to get on. Extremely political and recent layoffs made it even worse. Can be super stressful, bad manager can ruin your life, efforts are not praised or counted, code output doesn't matter. Management is poor in comms and career growth can be a little murky. Politics and poor leadership in the mid-level. Meta is building the future of human connection and the technology that makes it possible. When Facebook launched in 2004, it changed the way people connect. Apps like Messenger, Instagram and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. "
Flipkart," Work culture is good and everyone is supportive. Growth will be there with good ethics and values, work culture is good. Good salary and Wi-Fi is good, can't say much more than that. Good people to work with. The work environment is good and friendly. "," No work-life balance, disorganized and lack of structure. Too much hierarchy and bad management. Long and extended working hours. Team and manager are not good. Heavy workload, though depends upon the team.","Flipkart.com is India’s leading e-commerce marketplace offering over 20 million products cross 70+ categories including Books, Media, Consumer Electronics, Large Appliances and Lifestyle. Launched in October 2007, we have become the preferred online marketplace for leading Indian and international brands. According to Alexa rankings we are amongst the top 10 most visited websites in India. We are exclusive partners for many international brands as well as local artisans and manufacturers, having tied up with the likes of FISME and NCDPD. We also have our own private label- Digiflip. With our Dec 2014 round of funding, Flipkart is amongst the top 5 privately funded startups in the world, according to the Times of India."," Work culture is good and everyone is supportive. Growth will be there with good ethics and values, work culture is good. Good salary and Wi-Fi is good, can't say much more than that. Good people to work with. The work environment is good and friendly.   No work-life balance, disorganized and lack of structure. Too much hierarchy and bad management. Long and extended working hours. Team and manager are not good. Heavy workload, though depends upon the team. Flipkart.com is India’s leading e-commerce marketplace offering over 20 million products cross 70+ categories including Books, Media, Consumer Electronics, Large Appliances and Lifestyle. Launched in October 2007, we have become the preferred online marketplace for leading Indian and international brands. According to Alexa rankings we are amongst the top 10 most visited websites in India. We are exclusive partners for many international brands as well as local artisans and manufacturers, having tied up with the likes of FISME and NCDPD. We also have our own private label- Digiflip. With our Dec 2014 round of funding, Flipkart is amongst the top 5 privately funded startups in the world, according to the Times of India."
Wipro," Good work-life balance, but it depends on the project you work for. Work culture is good, a great place to start a career as a fresher with a balanced work-life. Good work environment and suitable for those looking for onsite opportunities. Job security and good to start a career as a fresher. If you want to start your career, then it is a very good company with high ethics and good training. "," It was a good company, but I had nothing new to learn and the salary was low. Management is poor and doesn't give proper responses until you put pressure. No salary hikes in onsite promotions after B3 band, very difficult. Very less pay hike, cannot sustain for a longer time with the salary, so join with a high salary. If you are good to the manager, you can go onsite and get a better appraisal.","Wipro Limited (NYSE: WIT, BSE: 507685, NSE: WIPRO) is a leading technology services and consulting firm focused on building innovative solutions that address clients’ most complex digital transformation needs.

Leveraging our holistic portfolio of capabilities in consulting, design, engineering, and operations, we help clients realize their boldest ambitions and build future-ready, sustainable businesses. With over 230,000 employees and business partners across 65 countries, we deliver on the promise of helping our customers, colleagues, and communities, to thrive in an ever-changing world."," Good work-life balance, but it depends on the project you work for. Work culture is good, a great place to start a career as a fresher with a balanced work-life. Good work environment and suitable for those looking for onsite opportunities. Job security and good to start a career as a fresher. If you want to start your career, then it is a very good company with high ethics and good training.   It was a good company, but I had nothing new to learn and the salary was low. Management is poor and doesn't give proper responses until you put pressure. No salary hikes in onsite promotions after B3 band, very difficult. Very less pay hike, cannot sustain for a longer time with the salary, so join with a high salary. If you are good to the manager, you can go onsite and get a better appraisal. Wipro Limited (NYSE: WIT, BSE: 507685, NSE: WIPRO) is a leading technology services and consulting firm focused on building innovative solutions that address clients’ most complex digital transformation needs.

Leveraging our holistic portfolio of capabilities in consulting, design, engineering, and operations, we help clients realize their boldest ambitions and build future-ready, sustainable businesses. With over 230,000 employees and business partners across 65 countries, we deliver on the promise of helping our customers, colleagues, and communities, to thrive in an ever-changing world."
Infosys," Many clubs of any kind of interest, great campus, good salary for consultants, good work-life balance. Work culture and their process were good where employees will not have any worries. Training is good, and your job will be secure despite ups and downs in the market. Good campuses if in case you never got a college or school with a good campus. The work environment is good if you are OK with the onsite and offshore model. "," Hike is very less, and salary is lower than company standards if in the company for many years. No salary hikes at onsite and minimum salary provided to meet local jurisdiction guidelines. Very less pay compared to the market outside, and you only get dry promotions with no pay. Poor management and retention of resources. You could be an awesome programmer but might end up being a really bad manager.","Infosys is a global leader in next-generation digital services and consulting. Over 300,000 of our people work to amplify human potential and create the next opportunity for people, businesses and communities. We enable clients in more than 56 countries to navigate their digital transformation. With over four decades of experience in managing the systems and workings of global enterprises, we expertly steer clients, as they navigate their digital transformation powered by cloud and AI. We enable them with an AI-first core, empower the business with agile digital at scale and drive continuous improvement with always-on learning through the transfer of digital skills, expertise, and ideas from our innovation ecosystem. We are deeply committed to being a well-governed, environmentally sustainable organization where diverse talent thrives in an inclusive workplace. Visit www.infosys.com to see how Infosys (NSE, BSE, NYSE: INFY) can help your enterprise navigate your next."," Many clubs of any kind of interest, great campus, good salary for consultants, good work-life balance. Work culture and their process were good where employees will not have any worries. Training is good, and your job will be secure despite ups and downs in the market. Good campuses if in case you never got a college or school with a good campus. The work environment is good if you are OK with the onsite and offshore model.   Hike is very less, and salary is lower than company standards if in the company for many years. No salary hikes at onsite and minimum salary provided to meet local jurisdiction guidelines. Very less pay compared to the market outside, and you only get dry promotions with no pay. Poor management and retention of resources. You could be an awesome programmer but might end up being a really bad manager. Infosys is a global leader in next-generation digital services and consulting. Over 300,000 of our people work to amplify human potential and create the next opportunity for people, businesses and communities. We enable clients in more than 56 countries to navigate their digital transformation. With over four decades of experience in managing the systems and workings of global enterprises, we expertly steer clients, as they navigate their digital transformation powered by cloud and AI. We enable them with an AI-first core, empower the business with agile digital at scale and drive continuous improvement with always-on learning through the transfer of digital skills, expertise, and ideas from our innovation ecosystem. We are deeply committed to being a well-governed, environmentally sustainable organization where diverse talent thrives in an inclusive workplace. Visit www.infosys.com to see how Infosys (NSE, BSE, NYSE: INFY) can help your enterprise navigate your next."
Tata Consultancy Services," Work-life balance is good, and onsite opportunities are available if you stay for at least 2 years. Good job security and a place to settle in if you are seeking long-term employment. Location of the firm is in the center of the city, and the work culture is also good. Good work environment, and you have to work end-to-end on the project, so learning is excellent. Job security: You can stop working or pick up a fight with managers, but you won't be fired. "," Salary is less compared to expectations, and prospects of growth are slow since it is overcrowded. There is no salary hike in the first year; any increase will occur after the second review cycle. Huge number of employees; TCS is mainly a service-based company; employee performance management is poor. Conservative and less pay lead to lower user satisfaction, but it depends on role and location. Your experience in TCS will greatly depend on what account you are assigned to because there are good and bad managers, as in every company.","Tata Consultancy Services is an IT services, consulting and business solutions organization that has been partnering with many of the world’s largest businesses in their transformation journeys for over 50 years. TCS offers a consulting-led, cognitive powered, integrated portfolio of business, technology and engineering services and solutions. This is delivered through its unique Location Independent Agile™ delivery model, recognized as a benchmark of excellence in software development.

A part of the Tata group, India's largest multinational business group, TCS has over 528,000 of the world’s best-trained consultants in 46 countries. The company generated consolidated revenues of US $22.2 billion in the fiscal year ended March 31, 2021 and is listed on the BSE (formerly Bombay Stock Exchange) and the NSE (National Stock Exchange) in India. TCS' proactive stance on climate change and award-winning work with communities across the world have earned it a place in leading sustainability indices such as the MSCI Global Sustainability Index and the FTSE4Good Emerging Index. For more information, visit www.tcs.com"," Work-life balance is good, and onsite opportunities are available if you stay for at least 2 years. Good job security and a place to settle in if you are seeking long-term employment. Location of the firm is in the center of the city, and the work culture is also good. Good work environment, and you have to work end-to-end on the project, so learning is excellent. Job security: You can stop working or pick up a fight with managers, but you won't be fired.   Salary is less compared to expectations, and prospects of growth are slow since it is overcrowded. There is no salary hike in the first year; any increase will occur after the second review cycle. Huge number of employees; TCS is mainly a service-based company; employee performance management is poor. Conservative and less pay lead to lower user satisfaction, but it depends on role and location. Your experience in TCS will greatly depend on what account you are assigned to because there are good and bad managers, as in every company. Tata Consultancy Services is an IT services, consulting and business solutions organization that has been partnering with many of the world’s largest businesses in their transformation journeys for over 50 years. TCS offers a consulting-led, cognitive powered, integrated portfolio of business, technology and engineering services and solutions. This is delivered through its unique Location Independent Agile™ delivery model, recognized as a benchmark of excellence in software development.

A part of the Tata group, India's largest multinational business group, TCS has over 528,000 of the world’s best-trained consultants in 46 countries. The company generated consolidated revenues of US $22.2 billion in the fiscal year ended March 31, 2021 and is listed on the BSE (formerly Bombay Stock Exchange) and the NSE (National Stock Exchange) in India. TCS' proactive stance on climate change and award-winning work with communities across the world have earned it a place in leading sustainability indices such as the MSCI Global Sustainability Index and the FTSE4Good Emerging Index. For more information, visit www.tcs.com"
Accenture," Work-life balance is good, and yearly appraisal is also good compared to other service-based companies. Working here is good because the work culture is good, and we get to reskill and upskill ourselves. You get the chance to work with great people who are very driven and know their subject area well. Encourages employees to upskill themselves and gain certifications, with many events in the premises; benefits are good. Work culture is good here, and it's the best company to work for as a fresher. "," Low salary for resources who are loyal and staying with the company for long years. Management in Accenture Kolkata is very poor, like political leaders with zero knowledge. Stressful and extended working hours, though you get Saturday and Sunday off. If you are stuck with a bad manager, getting a release from the project is very tough. Can be long hours and lots of travel, which might not be ideal for those with a family.","Accenture is a leading global professional services company that helps the world’s leading businesses, governments and other organizations build their digital core, optimize their operations, accelerate revenue growth and enhance citizen services—creating tangible value at speed and scale. We are a talent- and innovation-led company with approximately 742,000 people serving clients in more than 120 countries. Technology is at the core of change today, and we are one of the world’s leaders in helping drive that change, with strong ecosystem relationships. We combine our strength in technology and leadership in cloud, data and AI with unmatched industry experience, functional expertise and global delivery capability. We are uniquely able to deliver tangible outcomes because of our broad range of services, solutions and assets across Strategy & Consulting, Technology, Operations, Industry X and Song. These capabilities, together with our culture of shared success and commitment to creating 360° value, enable us to help our clients reinvent and build trusted, lasting relationships. We measure our success by the 360° value we create for our clients, each other, our shareholders, partners and communities. Visit us at www.accenture.com."," Work-life balance is good, and yearly appraisal is also good compared to other service-based companies. Working here is good because the work culture is good, and we get to reskill and upskill ourselves. You get the chance to work with great people who are very driven and know their subject area well. Encourages employees to upskill themselves and gain certifications, with many events in the premises; benefits are good. Work culture is good here, and it's the best company to work for as a fresher.   Low salary for resources who are loyal and staying with the company for long years. Management in Accenture Kolkata is very poor, like political leaders with zero knowledge. Stressful and extended working hours, though you get Saturday and Sunday off. If you are stuck with a bad manager, getting a release from the project is very tough. Can be long hours and lots of travel, which might not be ideal for those with a family. Accenture is a leading global professional services company that helps the world’s leading businesses, governments and other organizations build their digital core, optimize their operations, accelerate revenue growth and enhance citizen services—creating tangible value at speed and scale. We are a talent- and innovation-led company with approximately 742,000 people serving clients in more than 120 countries. Technology is at the core of change today, and we are one of the world’s leaders in helping drive that change, with strong ecosystem relationships. We combine our strength in technology and leadership in cloud, data and AI with unmatched industry experience, functional expertise and global delivery capability. We are uniquely able to deliver tangible outcomes because of our broad range of services, solutions and assets across Strategy & Consulting, Technology, Operations, Industry X and Song. These capabilities, together with our culture of shared success and commitment to creating 360° value, enable us to help our clients reinvent and build trusted, lasting relationships. We measure our success by the 360° value we create for our clients, each other, our shareholders, partners and communities. Visit us at www.accenture.com."
